排名,名称,简介
1,ROMON罗蒙,罗蒙集团股份有限公司，创于1984年，中国西服行业标志性品牌，以设计/生产/销售中高档西服/衬衫为主的大型服装企业集团。
2,雅戈尔YOUNGOR,雅戈尔集团股份有限公司，创建于1979年，国内西服行业标志品牌，以重要场合的正装为主，本色、自然、简约、个性的设计风格，形成以品牌服装为主的纺织服装垂直产业链。
3,报喜鸟SaintAngelo,浙江报喜鸟服饰股份有限公司，高级商务装品牌，浙江著名商标，首推“非粘合衬”西装生产环保工艺，主打高档精品男装的高新技术企业。
4,FIRS杉杉,杉杉控股有限公司，始于1989年，绅士西服的先驱者，专注经典商务/高端商旅/私人定制/职业装定制系列产品生产销售的专业服装公司。
5,金利来Goldlion,金利来（中国）有限公司，始于1968年香港，男士商务装行业影响力品牌，国内较早的权威男士商务品牌，香港上市公司，其领带/西服/衬衫业界有名。
6,柒牌SEVEN,福建柒牌集团有限公司，始于1979年，产品以风格时尚、款式经典、做工考究而著称，其中华立领系列已成为男装时尚中国化代表，福建省著名商标，福建名牌，以服饰研究、设计和制造为主、集销售为一体的综合性集团公司。
7,希努尔SINOER,希努尔男装股份有限公司，西服十大品牌，开辟了国内西装终身免费干洗的售后服务先例，集中高档西服/衬衣/服饰产品的研发/制造/销售于一体的企业。
8,HLA海澜之家,海澜之家股份有限公司，江苏省著名商标，平价优质国民男装品牌，主打时尚商务风，享有“男人的衣柜”的美誉，生产销售男装的大型上市公司。
9,Hodo红豆,江苏红豆实业股份有限公司，红豆集团旗下，始于1957年，其衬衫/西服产品享誉业界，主营服装/房地产/毛线纱线印染的生产与销售的上市公司。
10,G2000,纵横二千有限公司，休闲男装知名品牌，全球休闲男装优秀供应商，致力于休闲男装生产、销售专业厂商，凭借其产品的创新设计和优质的品质在市场上获得一致的良好口碑，并畅销海内外多个国家和地区。
